Feature,importance,fold
ffti_range_-170_-165,18.0,3
ffti_range_-175_-170,32.0,3
ffti_range_-180_-175,20.6,3
ffti_range_-185_-180,27.8,3
ffti_range_-190_-185,20.2,3
ffti_range_-195_-190,20.6,3
ffti_range_-200_-195,20.0,3
ffti_range_-20_-15,19.2,3
ffti_range_-25_-20,16.2,3
ffti_range_-30_-25,28.8,3
ffti_range_-35_-30,16.4,3
ffti_range_-40_-35,22.0,3
ffti_range_-45_-40,35.2,3
ffti_range_-50_-45,16.0,3
ffti_range_-55_-50,19.8,3
ffti_range_-5_0,25.4,3
ffti_range_-60_-55,20.8,3
ffti_range_-65_-60,22.4,3
ffti_range_-70_-65,28.0,3
ffti_range_-75_-70,20.4,3
ffti_range_-80_-75,27.2,3
ffti_range_-85_-80,19.4,3
ffti_range_-90_-85,20.0,3
ffti_range_-95_-90,20.6,3
ffti_range_0_5,30.4,3
ffti_range_100_105,18.6,3
ffti_range_105_110,23.2,3
ffti_range_10_15,19.6,3
ffti_range_110_115,34.4,3
ffti_range_115_120,21.2,3
ffti_range_120_125,28.2,3
ffti_range_125_130,16.6,3
ffti_range_130_135,21.6,3
ffti_range_135_140,24.6,3
ffti_range_140_145,33.4,3
ffti_range_145_150,18.2,3
ffti_range_150_155,27.0,3
ffti_range_155_160,16.4,3
ffti_range_15_20,25.4,3
ffti_range_160_165,28.6,3
ffti_range_165_170,13.8,3
ffti_range_170_175,30.0,3
ffti_range_175_180,25.0,3
ffti_range_180_185,32.8,3
ffti_range_185_190,18.6,3
ffti_range_190_195,23.0,3
ffti_range_20_25,20.8,3
ffti_range_25_30,20.4,3
ffti_range_30_35,24.0,3
ffti_range_35_40,24.4,3
ffti_range_40_45,28.2,3
ffti_range_45_50,19.2,3
ffti_range_50_55,23.6,3
ffti_range_55_60,22.6,3
ffti_range_5_10,22.6,3
ffti_range_60_65,30.4,3
ffti_range_65_70,19.2,3
ffti_range_70_75,21.0,3
ffti_range_75_80,33.6,3
ffti_range_80_85,22.0,3
ffti_range_85_90,22.6,3
ffti_range_90_95,22.2,3
ffti_range_95_100,24.8,3
ffti_range_minf_m4000,6.0,3
ffti_range_p4000_pinf,7.0,3
ffti_spkt_welch_density_1,14.6,3
ffti_spkt_welch_density_10,24.0,3
ffti_spkt_welch_density_100,17.8,3
ffti_spkt_welch_density_5,26.0,3
ffti_spkt_welch_density_50,27.0,3
ffti_std,0.6,3
ffti_std_first_1000,31.6,3
ffti_std_first_10000,4.4,3
ffti_std_first_50000,1.2,3
ffti_std_last_1000,35.2,3
ffti_std_last_10000,0.8,3
ffti_std_last_50000,1.0,3
ffti_std_roll_mean_100,13.2,3
ffti_std_roll_mean_1000,13.0,3
ffti_std_roll_mean_10000,20.2,3
ffti_std_roll_mean_500,10.0,3
ffti_std_roll_std_100,1.6,3
ffti_std_roll_std_1000,2.2,3
ffti_std_roll_std_10000,3.8,3
ffti_std_roll_std_500,3.8,3
ffti_time_rev_asym_stat_1,37.0,3
ffti_time_rev_asym_stat_10,33.6,3
ffti_time_rev_asym_stat_100,35.4,3
