feat,importance
ffti_fft_4_real,23.07692308
ffti_trend,23.07692308
fftr_fft_1_real,23
ffti_ave_roll_mean_1000,22.92307692
ffti_time_rev_asym_stat_500,22.92307692
av_change_rate_roll_std_10,22.84615385
ffti_mean_change_rate_last_50000,22.84615385
fftr_min_last_1000,22.84615385
fft_3_imag,22.69230769
fftr_binned_entropy_75,22.69230769
fftr_percentile_roll_std_1,22.69230769
ffti_abs_max_roll_mean_10000,22.53846154
ffti_autocorrelation_10,22.53846154
fftr_percentile_60,22.53846154
max_last_50000,22.53846154
num_peaks_20,22.46153846
std_first_50000,22.46153846
ffti_av_change_abs_roll_std_500,22.38461538
ffti_exp_Moving_average_3000_std,22.30769231
mean_last_1000,22.30769231
fftr_percentile_roll_std_20,22.23076923
ffti_binned_entropy_20,22.15384615
ffti_percentile_roll_mean_10,22.15384615
av_change_abs_roll_std_10000,22.07692308
fftr_num_peaks_10,22.07692308
av_change_rate_roll_std_10000,22
fft_2_angle,22
ffti_mean_last_1000,22
ffti_percentile_roll_mean_40,22
fftr_range_3000_4000,21.92307692
fft_4_real,21.76923077
fftr_abs_percentile_25,21.76923077
time_rev_asym_stat_10000,21.76923077
fft_1_imag,21.69230769
ffti_max_first_1000,21.69230769
ffti_percentile_roll_mean_25,21.69230769
fftr_time_rev_asym_stat_1,21.69230769
ffti_exp_Moving_average_50000_mean,21.53846154
ffti_mean_first_10000,21.53846154
ffti_percentile_roll_mean_80,21.53846154
fftr_av_change_abs_roll_mean_10000,21.38461538
min_roll_mean_1000,21.38461538
ffti_cid_ce_1,21.30769231
abs_trend,21.23076923
ffti_max_last_1000,21.23076923
ffti_max_roll_mean_1000,21.23076923
fftr_abs_max_roll_mean_500,21.23076923
fftr_mean_first_10000,21.23076923
std_roll_mean_100,21.23076923
av_change_rate_roll_std_500,21.15384615
fftr_std_roll_mean_500,21.15384615
ffti_binned_entropy_30,21.07692308
fftr_fft_1_imag,21.07692308
fftr_range_1000_2000,21.07692308
ave_roll_std_10,21
ffti_fft_4_imag,21
autocorrelation_10,20.92307692
ffti_percentile_roll_mean_20,20.92307692
max_roll_mean_10000,20.92307692
ffti_fft_2_real,20.76923077
fftr_std_roll_mean_1000,20.76923077
ffti_num_peaks_100,20.61538462
fftr_exp_Moving_average_50000_mean,20.61538462
fftr_percentile_roll_mean_20,20.61538462
c3_1000,20.53846154
ffti_autocorrelation_100,20.53846154
fftr_abs_percentile_20,20.46153846
fftr_max_roll_mean_50,20.46153846
time_rev_asym_stat_50,20.46153846
c3_500,20.38461538
percentile_roll_mean_75,20.38461538
ffti_autocorrelation_1000,20.30769231
ffti_kurt,20.30769231
ffti_c3_1000,20.23076923
ffti_av_change_abs_roll_mean_50,20.15384615
ffti_max_roll_mean_10000,20.15384615
fftr_binned_entropy_25,20.15384615
fftr_max_roll_mean_500,20.15384615
c3_5000,20.07692308
ffti_fft_3_imag,20.07692308
fftr_classic_sta_lta5_mean,20.07692308
ffti_spkt_welch_density_100,20
ffti_exp_Moving_average_30000_mean,19.92307692
ffti_mean_first_1000,19.92307692
fftr_mean_first_1000,19.92307692
exp_Moving_average_50000_mean,19.84615385
ffti_fft_3_real,19.84615385
fftr_ave10,19.84615385
fftr_exp_Moving_average_300_mean,19.84615385
ffti_abs_max_roll_mean_1000,19.69230769
fftr_min_roll_mean_1000,19.69230769
fftr_abs_percentile_5,19.61538462
ffti_fft_2_imag,19.53846154
ffti_std_roll_mean_500,19.53846154
hmean,19.53846154
percentile_roll_mean_80,19.46153846
ffti_Hann_window_mean_1500,19.38461538
fftr_fft_4_real,19.38461538
fftr_percentile_roll_mean_60,19.38461538
av_change_rate_roll_std_50,19.30769231
percentile_roll_mean_5,19.30769231
fftr_min_roll_mean_50,19.23076923
ffti_max_roll_mean_500,19.15384615
ffti_percentile_roll_mean_60,19.15384615
fftr_exp_Moving_average_3000_mean,19.15384615
percentile_roll_mean_20,19.15384615
max_roll_mean_500,19.07692308
mean_last_10000,19.07692308
ffti_abs_max_roll_mean_50,19
ffti_percentile_roll_mean_30,19
fftr_percentile_50,19
fftr_Hann_window_mean_150,18.92307692
abs_max_roll_mean_500,18.84615385
fftr_Hann_window_mean_15000,18.84615385
fftr_std_roll_mean_10,18.84615385
av_change_abs_roll_std_1000,18.76923077
mad,18.76923077
fftr_min_roll_mean_100,18.69230769
c3_10,18.53846154
fftr_binned_entropy_30,18.53846154
fftr_percentile_roll_mean_75,18.53846154
ffti_fft_5_real,18.46153846
av_change_abs_roll_mean_100,18.38461538
binned_entropy_25,18.38461538
fftr_percentile_roll_mean_50,18.30769231
abs_max_roll_mean_10000,18.23076923
ffti_abs_percentile_30,18.23076923
ffti_spkt_welch_density_1,18.15384615
percentile_roll_mean_30,18.15384615
ffti_percentile_40,18.07692308
fftr_fft_4_imag,18.07692308
min_roll_mean_100,18.07692308
fftr_percentile_roll_mean_25,17.92307692
fftr_percentile_roll_mean_30,17.92307692
av_change_rate_roll_mean_100,17.84615385
av_change_rate_roll_mean_10000,17.76923077
ffti_fft_5_imag,17.76923077
mean_change_rate_last_1000,17.76923077
count_below_mean,17.69230769
ffti_percentile_60,17.69230769
min_first_10000,17.69230769
percentile_roll_mean_50,17.61538462
fftr_ave_roll_mean_50,17.53846154
percentile_roll_mean_25,17.53846154
ffti_binned_entropy_40,17.46153846
iqr1,17.46153846
c3_10000,17.38461538
ffti_exp_Moving_average_300_std,17.30769231
fftr_Hann_window_mean_1500,17.23076923
fftr_abs_max_roll_mean_100,17.23076923
fftr_std_roll_mean_50,17.23076923
ffti_mean_change,17.07692308
fftr_abs_max_roll_mean_10,17.07692308
fftr_exp_Moving_std_300_std,17.07692308
av_change_abs_roll_mean_10000,17
binned_entropy_80,16.92307692
ffti_abs_percentile_20,16.92307692
ffti_ave_roll_mean_500,16.92307692
ffti_min_roll_mean_1000,16.92307692
fftr_ave_roll_mean_500,16.92307692
exp_Moving_average_30000_mean,16.84615385
ffti_range_1000_2000,16.84615385
fftr_percentile_roll_mean_40,16.84615385
abs_max_roll_mean_50,16.76923077
ffti_range_-2000_-1000,16.76923077
fftr_max_roll_mean_100,16.76923077
min_roll_mean_10000,16.76923077
percentile_roll_mean_95,16.76923077
ffti_min_last_1000,16.69230769
ffti_Hann_window_mean_150,16.53846154
fftr_num_peaks_100,16.53846154
percentile_roll_mean_70,16.53846154
abs_mean,16.46153846
exp_Moving_std_50000_std,16.46153846
ffti_std_roll_mean_10,16.46153846
ffti_percentile_roll_mean_99,16.38461538
percentile_roll_mean_40,16.38461538
fftr_abs_max_roll_mean_50,16.30769231
fftr_ave_roll_mean_100,16.30769231
min_roll_mean_50,16.30769231
std_last_50000,16.30769231
ffti_classic_sta_lta7_mean,16.15384615
fftr_ave_roll_mean_1000,16.15384615
ffti_av_change_abs_roll_mean_10,16.07692308
ffti_min_roll_mean_50,16.07692308
ffti_binned_entropy_60,16
ffti_std_roll_mean_100,16
ffti_binned_entropy_70,15.92307692
ffti_percentile_roll_mean_90,15.92307692
binned_entropy_50,15.84615385
ffti_ave_roll_mean_100,15.84615385
ffti_classic_sta_lta5_mean,15.84615385
ffti_std_roll_mean_1000,15.84615385
ffti_max_roll_mean_10,15.76923077
ffti_mean_change_abs,15.76923077
fftr_Hann_window_mean_50,15.76923077
min_roll_mean_500,15.76923077
std_last_1000,15.76923077
binned_entropy_70,15.69230769
percentile_roll_mean_10,15.69230769
Hilbert_mean,15.61538462
ffti_ave_roll_mean_50,15.61538462
binned_entropy_40,15.53846154
ffti_abs_max_roll_mean_10,15.46153846
ffti_max_roll_mean_50,15.46153846
fftr_mean_change,15.46153846
fftr_range_-1000_0,15.46153846
ffti_binned_entropy_75,15.38461538
ffti_max_roll_mean_100,15.23076923
fftr_percentile_70,15.23076923
max_roll_mean_50,15.23076923
fftr_ave_roll_mean_10000,15.15384615
std_roll_mean_50,15.07692308
fftr_spkt_welch_density_1,15
fft_1_angle,14.92307692
fftr_exp_Moving_std_3000_std,14.92307692
ffti_std_roll_mean_50,14.84615385
binned_entropy_99,14.76923077
binned_entropy_30,14.69230769
fftr_exp_Moving_average_300_std,14.69230769
fftr_percentile_40,14.69230769
ffti_classic_sta_lta8_mean,14.61538462
ffti_percentile_70,14.61538462
fftr_std_roll_mean_100,14.53846154
ave_roll_std_50,14.46153846
fftr_av_change_abs_roll_std_1000,14.46153846
fftr_percentile_30,14.46153846
binned_entropy_90,14.38461538
kurt,14.30769231
fftr_exp_Moving_std_30000_std,14.23076923
fftr_percentile_75,14.23076923
min_first_1000,14.23076923
ffti_abs_max_roll_mean_100,14.15384615
fftr_abs_max_roll_std_10000,14.15384615
fftr_ave_roll_mean_10,14.07692308
fftr_skew,14.07692308
max_first_1000,14.07692308
spkt_welch_density_10,14.07692308
ffti_binned_entropy_80,14
fftr_cid_ce_1,14
ffti_ave_roll_mean_10,13.92307692
fftr_percentile_25,13.92307692
ffti_percentile_roll_mean_70,13.84615385
ffti_max_last_10000,13.76923077
fftr_max_to_min_diff,13.76923077
percentile_roll_mean_90,13.76923077
ffti_max_first_10000,13.69230769
fftr_av_change_abs_roll_std_10000,13.69230769
fftr_mean_change_abs,13.69230769
min_last_1000,13.69230769
binned_entropy_95,13.53846154
ffti_binned_entropy_50,13.46153846
fftr_av_change_abs_roll_std_50,13.46153846
abs_max_roll_mean_100,13.38461538
ffti_Hann_window_mean_50,13.38461538
fftr_max_roll_mean_10,13.30769231
exp_Moving_std_300_mean,13.07692308
fftr_std_first_10000,13.07692308
ffti_abs_max,13
ffti_av_change_abs_roll_mean_500,13
ffti_min_roll_mean_10,13
percentile_roll_mean_60,13
abs_max,12.92307692
ffti_cid_ce_0,12.84615385
fftr_max_last_50000,12.84615385
fftr_fft_5_real,12.76923077
trend,12.76923077
exp_Moving_std_30000_std,12.69230769
fftr_exp_Moving_average_30000_std,12.69230769
fftr_exp_Moving_std_50000_std,12.61538462
max_roll_mean_100,12.61538462
ffti_abs_percentile_40,12.46153846
ffti_binned_entropy_25,12.46153846
fftr_abs_max_roll_std_10,12.46153846
abs_max_roll_std_100,12.38461538
abs_max_roll_std_10000,12.38461538
ffti_abs_percentile_25,12.38461538
min_last_50000,12.38461538
ffti_exp_Moving_average_300_mean,12.30769231
fftr_classic_sta_lta8_mean,12.30769231
abs_max_roll_std_500,12.15384615
ffti_abs_max_roll_std_50,12.15384615
ffti_binned_entropy_90,12.15384615
ffti_binned_entropy_99,12.07692308
max_roll_mean_10,12
binned_entropy_75,11.76923077
fftr_av_change_abs_roll_mean_10,11.76923077
ffti_fft_1_imag,11.69230769
fftr_abs_percentile_40,11.69230769
fftr_cid_ce_0,11.69230769
fftr_max_last_10000,11.69230769
ffti_binned_entropy_95,11.61538462
ffti_percentile_20,11.61538462
ffti_percentile_75,11.53846154
fftr_abs_percentile_50,11.53846154
abs_sum_of_changes,11.46153846
mean_abs_change,11.46153846
min_roll_mean_10,11.46153846
fftr_av_change_abs_roll_std_100,11.38461538
fftr_binned_entropy_20,11.38461538
fftr_fft_3_angle,11.38461538
ffti_max_roll_std_50,11.30769231
fftr_max_to_min,11.30769231
long_strk_above_mean,11.30769231
exp_Moving_std_30000_mean,11.15384615
ffti_abs_percentile_70,11.15384615
ffti_long_strk_below_mean,11.15384615
ffti_max_last_50000,11.15384615
fftr_max_roll_std_10,11.15384615
ffti_abs_max_roll_std_10,11.07692308
fftr_fft_2_real,11
fftr_min,11
percentile_roll_std_90,11
fftr_percentile_10,10.92307692
ffti_abs_max_roll_std_500,10.84615385
fftr_exp_Moving_average_50000_std,10.76923077
fftr_long_strk_below_mean,10.76923077
fftr_max_roll_std_10000,10.76923077
ave_roll_std_10000,10.69230769
ffti_abs_percentile_60,10.69230769
ffti_mean_abs_change,10.61538462
percentile_roll_std_95,10.61538462
abs_max_roll_std_50,10.46153846
ffti_count_big,10.46153846
long_strk_below_mean,10.46153846
percentile_roll_std_99,10.38461538
ffti_long_strk_above_mean,10.30769231
percentile_95,10.30769231
ffti_max_roll_std_10,10.23076923
fftr_range_0_1000,10.23076923
abs_max_roll_mean_10,10.15384615
ave_roll_std_100,10.15384615
binned_entropy_60,10.15384615
ffti_abs_percentile_75,10.07692308
ffti_exp_Moving_average_3000_mean,10.07692308
fftr_abs_sum_of_changes,10.07692308
fftr_exp_Moving_average_3000_std,10.07692308
